"Functional","Start","aveMAF","1000G_SNPs","1000G_SNPsDensity","Max_covariance","InteractionMIN","InteractionAVE","Genome_copy_number","GC_percentage","MFE","Accessibility","RNAcode_score","RNAalifold_score","Dfam_min_distance","Dfam_sum_distance","MeanPhyloP","MaxPhyloP","MeanPhastCons","MaxPhastCons","Fickett_score","Min_Cov_Eval","mammals_mean_gerp","mammals_max_gerp","gnomAD_SNP_count","gnomAD_SNP_density","gnomAD_avg_MAF","RPKM_tissue","MRD_tissue","RPKM_primary_cell","MRD_primary_cell"
"No",45113664,0.0830007,5,0.0537634,2.26,-7.23,-4.74909,1,26.5957,-5.4,6.108263,9.17,-57.88,29,339,0.0243896,0.622,0.0724004,0.242,0.29748,79.1055,-0.07007857143,0.347,73,0.784946,0.00884023,0.674485,18,0.865187,0
"No",98694186,0.021965,5,0.0342466,7.88,-8.55,-3.97133,150,44.2177,-39.8,41.82193,14.75,-53.28,166,363,0.0351732,0.252,0.040272,0.113,0.40999,56.7181,-0.1282075472,0.269,36,0.246575,0.00415567,0.427288,5,0.331955,14
"No",170441105,0.016751,9,0.042654,24.09,-9.12,-4.4529,12,23.1132,-17,22.25267,5.09,-1.12,756,1640,0.0350676,1.572,0.0158416,0.492,0.41493,14.4559,-0.3449694915,0.753,38,0.180095,0.00720392,1.04712,23,0.903076,18
"No",113519999,"NA","NA","NA",17.11,-9.74,-4.32812,5,58.6207,-17.1,17.92792,3.03,-4.68,182,425,-0.0870351,1.306,0.0293158,0.419,0.44409,16.9783,-0.7375962264,1.04,14,0.245614,0.00332522,2.41693,0,1.24374,0
"No",31857265,0.0104632,4,0.00738007,6.67,-17.44,-9.06333,171,45.6722,-152.1,162.2854,11.78,-128.88,66,134,-0.00148623,2.058,0.0390129,0.418,0.31189,28.0523,-0.4918623333,1.27,95,0.175277,0.000823951,0.955384,49,2.19024,123
"No",103665754,0.0013936,23,0.0150425,5.46,-19.65,-11.1041,3,46.9935,-464,"NA",7.49,-434.66,417,1031,0.189737,3.377,0.0759068,1,0.28799,0.192148,-1.179524077,2.3,170,0.111184,0.000503423,0.0748012,4,0.0598806,10
"No",33657069,0.00361422,9,0.0454545,51.59,-11.54,-6.17548,30,39.196,-31.5,34.24745,5.71,-19,1237,2922,2.81219,6.835,0.778848,1,0.42281,15.9331,-0.7134848901,2.31,47,0.237374,0.000694362,1.01085,6,54.2449,77
"No",51017419,"NA","NA","NA",31.7,-12.53,-5.36833,1,43.4783,-7.3,9.459162,3.78,-0.98,96,484,0.192783,2.415,0.0270761,0.274,0.47244,3.37538,-0.9087264706,1.53,6,0.0882353,6.74472E-05,0.972987,5,3.31181,44
"No",51867888,0.0820686,4,0.0294118,19.85,-10.89,-4.601,1,50.365,-38.4,40.20368,3.56,-7.3,58,743,0.129412,1.174,0.0559477,0.451,0.36486,19.0148,-0.3307211538,0.667,19,0.139706,0.0181393,5.15116,38,3.16254,48
"No",165190524,0.000873602,8,0.0784314,27.62,-17.3,-6.62379,1,48.5437,-7.5,10.00097,5.21,0,39,418,-0.331935,1.798,0.003547,0.065,0.40415,98.2,-0.5804505495,0.759,28,0.27451,0.000215184,0.263607,4,0.192871,0
"No",23081159,0.000199681,1,0.0147059,27.77,-9.02,-4.37586,1,44.9275,-9.8,11.95481,2.06,0,149,687,0.0384888,2.825,0.007359,0.084,0.43242,98.15,-1.307986154,1.97,17,0.25,3.03763E-05,1.39703,9,1.28966,3
"No",85557617,0.0305511,2,0.0176991,30.17,-12.17,-4.801,1,39.4737,-13.6,15.62946,3.93,0,28,116,0.0490422,2.511,0.0231445,0.349,0.33704,97.55,-1.052073267,1.52,21,0.185841,0.000615067,6.2083,38,0.578552,8
"No",89862264,0.114716,1,0.0113636,7.8,-9.73,-4.7135,17,29.2135,-11.5,12.59814,10.64,-208.7,1082,2751,0.0911905,0.224,0.166382,0.361,0.34794,97.2067,-0.162,0.313,14,0.159091,0.032892,4.54883,11,1.0973,3
"No",116554289,0.00039936,3,0.0234375,56.74,-11.91,-4.81333,1,37.2093,-27,29.82169,5.38,0,386,2216,0.737598,5.35,0.330018,1,0.31814,98.35,-0.886909375,3.41,26,0.203125,5.42123E-05,13.1705,120,15.5285,71
"No",53834493,0.115865,2,0.0229885,"NA",-21.48,-6.9608,647,48.8636,-4.3,5.950516,"NA",-1121.72,28,596,"NA","NA","NA","NA",0.42222,"NA","NA","NA",46,0.528736,0.0101819,1.64325,1,11.6036,2
"No",9044941,0.0614517,4,0.0170213,7.28,-11.7,-5.3371,1,35.5932,-44.7,48.12636,11.99,-270.12,100,205,0.0768671,0.232,0.169111,0.567,0.38029,1.0024,-0.108,0.295,37,0.157447,0.00645132,1.79801,45,0.265443,8
"No",41673733,0.00127296,8,0.0432432,32.81,-16.97,-4.91069,1,29.0323,-30.4,34.12173,6.28,0,114,232,0.00435342,2.319,0.0112052,0.144,0.36723,91.35,-1.074719143,1.71,50,0.27027,0.000296684,0.814924,27,0.331403,27
"No",137803507,0.0257588,8,0.0493827,8.49,-9.94,-5.07879,480,48.4663,-42,45.62358,10.65,-146.89,90,184,0.00831372,0.252,0.029967,0.13,0.37722,0.38226,-0.05771428571,0.201,49,0.302469,0.00543127,0.15106,3,0.0890704,2
"No",52430712,0.0009984,2,0.0121951,26.1,-10.97,-4.46828,1,35.7576,-32.2,35.12993,5.25,0,219,886,-0.00668938,1.643,0.010415,0.141,0.44601,98.5,-0.2764188034,0.56,32,0.195122,5.89034E-05,0.744933,23,0.815061,10
"No",170369262,0.00107827,5,0.0217391,44.27,-15.89,-6.99937,1,40.2597,-48.9,54.12026,3.53,0,180,944,-0.0825191,2.754,0.00995754,0.433,0.38182,99.5,-1.507614218,1.94,35,0.152174,0.000243303,1.23422,30,0.0959417,2
"No",62831948,0.000199681,1,0.0344828,38.96,-15.46,-8.619,1,73.3333,-1.7,1.900129,7.63,0,168,1358,1.10134,3.691,0.685655,1,0.37252,99.55,0.1760103448,3.08,12,0.413793,2.39543E-05,42.4114,240,112.476,1482
"No",55406712,0.171825,2,0.0238095,39.3,-14.05,-4.22704,1,58.8235,-29.9,31.86315,4.99,-2.01,237,656,0.303308,3.594,0.208066,1,0.37494,3.33545,-1.047642346,2.27,25,0.297619,0.0141874,0.897389,23,0.340182,0
"No",40320171,0.00156,16,0.0230216,46.32,-20.25,-9.34941,1,55.6034,-260.1,271.6742,8.67,-46.02,1096,5202,0.497145,4.445,0.246747,1,0.43495,70.5426,-0.4710630265,1.81,120,0.172662,0.000125142,1.21378,46,2.09731,120
"No",168627748,0.000149761,3,0.0204082,31.82,-11.71,-4.66462,1,34.4595,-17.4,20.15947,3.53,-1,217,630,0.34334,2.946,0.120814,0.941,0.42035,1.50916,-0.6954948529,1.27,28,0.190476,2.94324E-05,12.7245,50,0.51528,8
"No",72610353,0.00046592,3,0.0212766,30.77,-9.31,-3.77586,1,27.4648,-17.3,20.39391,3.88,-0.21,64,776,0.121618,2.864,0.015184,0.421,0.3248,3.12613,-1.306026087,1.82,19,0.134752,6.02879E-05,0.47931,9,0.420475,7
"No",154908447,"NA","NA","NA",3.88,-10.44,-3.69762,70,48.5714,-16.5,17.25482,8.07,-110.75,141,427,0.0923862,0.137,0.411004,0.555,0.44674,82.1529,-0.0309,0.0622,13,0.188406,1.23516E-05,0.332807,1,0.675287,0
"No",56919963,0.00151757,4,0.0526316,41.09,-11.2,-5.40731,1,38.961,-5.6,7.826252,1.54,0,48,781,0.0682864,1.907,0.0211382,0.278,0.38056,99.55,-1.922202632,3.19,18,0.236842,8.76472E-05,5.48793,11,21.3988,29
"No",47878265,0.00034944,3,0.025,33.47,-13.9,-6.94742,1,51.2397,-16.7,18.41157,5.58,0,419,1483,-0.394252,2.198,0.00150539,0.099,0.39315,99.75,-2.452594118,1.11,15,0.125,5.77291E-05,1.26067,3,0.916258,5
"No",29706469,0.16477,4,0.0305344,8.38,-13.43,-5.225,7,33.3333,-21.9,24.10858,6.81,-132,14,274,0.0688832,0.252,0.149787,0.457,0.38193,63.7602,-0.3040792079,0.656,26,0.198473,0.0349817,0.575425,6,0.326221,2
"No",73399900,0.000299521,2,0.0115607,8.19,-11.21,-5.06412,806,33.908,-35.9,39.3833,1.63,-29.44,12,96,-0.0654548,1.961,0.0696304,0.392,0.391,47.8874,-0.4247059406,0.992,34,0.196532,5.94394E-05,0.225376,2,0.410363,1
"No",95137645,0.00019968,1,0.0238095,24,-13.53,-5.554,1,48.8372,-4.7,5.28318,3.92,0,64,1072,-0.338857,1.73,0.000119048,0.002,0.40264,99.2,-1.854711905,1.6,4,0.0952381,0.00041882,49.7893,14,50.3767,28
"No",94723591,"NA","NA","NA",58.84,-10.3,-4.61885,1,29.8701,-11.5,12.83027,5.5,0,1068,2698,1.02222,5.138,0.537187,1,0.39066,98.2,-0.9826,2.39,15,0.197368,1.34971E-05,1.50488,3,0.489411,6
"No",118643993,0.014976,"NA","NA",10.8,-9.07,-3.60037,24,21.875,-2.2,3.944238,1.43,0,162,1082,0.235182,1.794,0.0623728,0.365,0.38897,97.8,-0.4301725287,1.43,55,0.578947,0.00347393,0.957649,8,4.57949,67
"No",113847947,0.000638978,5,0.0757576,22.97,-12.09,-4.84882,68216,56.7164,-15.2,16.88542,6.41,-5.07,223,1152,-0.078697,0.711,0.0123636,0.055,0.40148,19.5846,-0.1,0.201,15,0.227273,0.000197282,2.67811,42,0.276842,2
"No",200760375,0.00179713,3,0.0252101,24.07,-7.17,-3.4092,1,20,-13,16.65111,4.25,0,6,452,0.208216,2.163,0.0200947,0.273,0.26727,98.75,-0.9626678261,1.93,15,0.12605,9.7714E-05,0.317818,6,0.993345,1
"No",30085114,0.0551783,3,0.024,"NA",-10.12,-4.70355,9426,47.619,-29.8,31.99725,"NA",-627.1,470,1914,0.0297932,0.064,0.260394,0.381,0.36249,"NA",-0.00332,0.0164,30,0.24,0.014707,12.4029,13,104.593,24
"No",196982536,0.0223643,16,0.0433604,7.66,-15.59,-7.41441,16611,39.1892,-79.8,89.22375,8.7,-73.52,65,288,-0.0157043,0.689,0.0322589,0.164,0.35591,83.7255,-0.2961796875,0.595,80,0.216802,0.00411015,0.461407,24,0.432908,12
"No",33229435,"NA","NA","NA",10.91,-8.73,-3.74222,80,54.4554,-40.3,42.30082,9.43,-123.03,96,226,0.02323,0.318,0.145039,0.506,0.33955,95.5634,-0.1967213115,0.653,20,0.2,1.57278E-05,1.14371,0,0.334084,4
"No",8354269,0.000133121,2,0.0188679,9.5,-9.88,-5.0276,10441,51.4019,-30.8,32.57041,5.85,-46.93,139,379,-0.14127,1.494,0.00835572,0.073,0.39514,48.9646,-0.2965384615,0.729,32,0.301887,2.17068E-05,3.30478,15,1.64171,34
"No",112140452,0.000832002,1,0.0136986,30.4,-6.85,-2.31238,1,28.3784,-13.4,14.52112,4.57,0,297,2441,0.306791,2.612,0.268558,0.96,0.32297,99.75,0.6093352113,4.01,87,1.19178,0.00765468,0.929319,9,2.59245,7
"No",28705164,0.327875,1,0.012987,8.91,-7.07,-3.241,1486,46.1538,-17.2,19.0134,6.9,-45.96,18,45,0.0539912,0.351,0.0260825,0.049,0.42342,72.9216,-0.1518571429,0.319,196,2.54545,0.00286921,1.18152,5,0.323842,2
"No",93949309,0.150293,6,0.0454545,52.07,-14.61,-5.01194,1,29.3233,-23.8,27.29502,5.89,0,511,1681,0.164337,3.067,0.116342,1,0.32212,99,-1.5945,2.12,26,0.19697,0.0360099,0.430683,5,0.736083,11
"No",72978272,"NA","NA","NA",8.9,-9.72,-4.12742,2,37.931,-19.1,21.83446,3.91,-18.86,492,1229,0.274396,0.807,0.382526,0.853,0.42679,59.6982,-0.1895714286,0.461,24,0.208696,0.00037208,2.48632,7,3.12838,6
"No",28677799,0.0214951,16,0.026534,12.73,-17.25,-8.57618,117,46.1921,-182.3,194.9446,7.16,-165.48,649,1414,-0.00356362,3.649,0.0265898,0.997,0.42419,14.9535,-1.345418283,2.28,113,0.187396,0.00317285,0.787408,24,1.44886,37
"No",205534136,0.00139776,3,0.0222222,39.93,-15.2,-5.53379,1,59.5588,-44.1,47.13378,3.91,0,942,3524,-0.605651,3.222,0.00109129,0.034,0.4105,99,-1.270924516,1.41,20,0.148148,0.000146559,1.18098,35,2.4449,18
"No",14405,0.0782748,5,0.0243902,26.83,-16.06,-5.53324,12,58.7379,-63.3,68.70777,5.73,0,656,3282,-0.188738,3.111,0.0211019,0.649,0.45565,98.2,"NA","NA",114,0.556098,0.0113825,4.47186,109,9.56239,336
"No",2090318,0.190395,1,0.0111111,20.89,-11.75,-3.81667,23893,51.6484,-29.3,30.55027,3.14,0,14,259,-0.120276,0.905,0.0115114,0.213,0.42085,97.7,-0.2882205882,0.539,17,0.188889,0.0242227,0.478158,1,0.314301,1
"No",24126134,0.0033554,3,0.0333333,9.46,-7.88,-3.7072,17282,50.5495,-28,30.80383,11.46,-62.32,305,662,0.325506,3.237,0.280075,1,0.42685,66.4122,-0.7750486111,1.32,7,0.0777778,0.00129254,1.10434,7,1.06812,16
"No",1975052,0.0236424,4,0.0325203,40.56,-16.18,-5.16476,3,65.3226,-60.1,62.25069,3.53,0,1320,3755,-0.217208,2.379,0.0141927,0.299,0.33702,97.35,-1.034029167,1.95,10,0.0813008,1.51736E-05,5.15663,56,7.5051,66
"No",6418828,0.153488,3,0.0174419,25.85,-10.73,-5.59938,1,49.711,-52.1,55.04131,4.81,-1.33,3,32,0.0671197,1.98,0.0180633,0.197,0.39472,5.75351,-0.4600188816,1.05,40,0.232558,0.0113617,0.495145,14,0.783622,22
"No",8837935,"NA","NA","NA",29.86,-10.38,-3.11,1,33.7349,-14,15.84014,4.92,0,135,322,0.0245918,1.926,0.0113106,0.273,0.3613,99.95,-1.441114103,2.21,18,0.219512,1.97848E-05,48.9893,137,8.35283,15
"No",99973834,0.00136448,6,0.0295567,"NA",-19.99,-5.92382,11261,40.1961,-40.9,44.7133,19.84,-1359.57,231,2196,-0.0198542,0.089,0.107931,0.247,0.38257,"NA",-0.01132631579,0.0269,71,0.349754,0.000105597,1.26961,51,0.600187,2
"No",172082910,0.00039936,3,0.0315789,37.58,-11.56,-4.58964,1,44.7917,-16.1,18.28846,6,0,1135,14001,0.466844,3.485,0.324608,1,0.46263,99.1,-1.158133333,2.86,19,0.2,4.40696E-05,7.10666,94,1.1902,40
"No",154004300,0.00059904,2,0.02,20.8,-13.38,-5.5969,1,46.5347,-25,27.09803,5.12,0,107,398,-0.244029,1.822,0.000944118,0.023,0.43639,96.5,-1.489278462,1.39,20,0.2,8.2326E-05,2.80728,5,0.298009,2
"No",114331681,0.115465,4,0.0310078,67.17,-13.12,-6.35667,1,43.0769,-21.1,24.08618,5.96,-0.86,3794,11993,0.602309,3.939,0.395319,1,0.39752,2.6335,-1.028426563,3.13,23,0.178295,0.0183609,19.1741,596,21.2656,940
"No",48057024,0.00382723,6,0.0535714,"NA",-9.67,-4.16286,611,51.3274,-27.4,29.47786,"NA",-181.15,66,446,0.0371576,0.064,0.300298,0.4,0.40907,"NA",-0.008966666667,0.0269,34,0.303571,0.000576376,0.859001,11,1.65197,11
"No",30361964,0.00059904,5,0.0324675,21.5,-6.33,-3.40071,8,33.5484,-30.8,35.27808,6.77,-4.84,86,390,0.241902,1.649,0.215385,0.992,0.36851,13.7639,-0.2016987952,0.361,25,0.162338,8.54176E-05,0.985221,9,1.04186,7
"No",99335214,0.000199681,2,0.016,41.73,-9.31,-4.44269,1,38.0952,-28.6,30.01935,2.59,0,27,476,0.229891,3.407,0.0904569,0.909,0.4169,98.65,-1.275507563,2.06,22,0.176,9.70536E-05,0.55764,5,0.288392,9
"No",42070628,0.0472387,7,0.0230263,45.16,-17.66,-6.92939,1,65.2459,-117.4,123.6536,11.65,-5.47,402,1020,-0.0811419,3.94,0.113007,1,0.4111,3.3588,"NA","NA",74,0.243421,0.00481349,5.72148,256,6.53691,423
"No",17385465,0.00275923,11,0.05,9.3,-14.97,-6.71121,76806,52.4887,-65.7,70.00139,9.28,-41.88,376,1095,-0.0314889,1.805,0.0259222,0.751,0.40122,59.9922,-0.4714584795,1.14,71,0.322727,0.000900658,0.909768,36,1.25018,5
"No",9652001,0.0750799,9,0.0212264,40.39,-16.4,-8.09471,1,75.2941,-236.1,243.8061,4.47,0,681,1589,-0.61863,3.447,0.0072637,0.999,0.32044,94.75,-1.900243234,2.23,111,0.261792,0.00679905,1.08818,25,2.31227,23
"No",17653868,0.00199681,2,0.0127389,"NA",-13.24,-4.95935,87,56.3291,-50.1,53.19349,"NA",-1710.53,111,1289,0.0302038,0.064,0.278466,0.395,0.39065,"NA",-0.00332,0.0164,23,0.146497,5.49317E-05,0.632131,12,1.38982,1
"No",9485051,0.000754349,9,0.0703125,8.51,-12.36,-3.86667,54408,51.938,-45.1,47.43164,9.5,-179.76,280,1564,-0.0242546,0.308,0.0366569,0.2,0.32685,98.7832,-0.067325,0.18,58,0.453125,0.000821967,0.75137,30,1.98725,102
"No",205352979,0.0322484,10,0.0367647,38.29,-14.06,-6.77676,2,45.0549,-75.7,80.57189,3.81,-0.5,277,1668,-0.12337,3.595,0.0385803,0.998,0.32616,1.91719,-2.034967308,2.6,53,0.194853,0.00742606,9.47824,108,1.78709,9
"No",32004007,0.134385,1,0.0196078,11.12,-14.13,-4.64571,"NA",36.5385,-1.1,2.304405,8.9,-100.51,117,408,-0.0278431,1.415,0.0119216,0.053,0.39823,2.778,-0.2890472222,0.779,18,0.352941,0.00259514,14.6745,14,5.49584,21
"No",69060649,0.0021965,5,0.025,14.07,-11.05,-5.39258,1,29.8507,-26.2,31.22217,3.96,-3.54,26,80,-0.0265109,2.631,0.0222785,0.835,0.2693,16.0956,-0.9363836957,1.67,40,0.2,0.000301353,0.145372,4,0.440355,7
"No",111719685,0.0051917,2,0.0129032,22.29,-9.12,-5.56,1,53.2051,-55.5,57.8317,1.17,-0.12,935,1912,-0.0563657,2.384,0.0716038,0.988,0.43205,2.68692,-2.02335,2.66,30,0.193548,0.00030687,0.782574,23,1.75125,39
"No",239687037,0.000998405,"NA","NA",25,-8.33,-3.21,1,16.8539,-11.7,12.86342,6.09,0,290,815,0.249715,2.363,0.197866,0.978,0.38836,97.7,-0.5511727632,0.84,14,0.159091,3.04779E-05,9.15189,45,9.12843,7
"No",23492635,0.001877,5,0.0276243,48.02,-12.89,-5.69364,1,34.6154,-36.4,40.42009,5.05,-0.54,323,964,0.193158,2.611,0.0258949,0.772,0.35581,3.96452,-1.092751381,2.65,29,0.160221,0.000340054,0.709564,15,1.07209,82
"No",93884590,0.0208757,10,0.0699301,20.16,-12.26,-4.864,2,53.4722,-44.2,46.84124,6.89,-3.26,505,1186,-0.144983,1.969,0.00217626,0.103,0.40199,13.789,-0.666144,0.915,35,0.244755,0.0072184,1.36329,38,0.319509,10
"No",101209412,0.00059904,3,0.0165746,24.59,-11.56,-4.11621,1,40.6593,-37.6,39.82117,5.33,-0.54,223,712,0.116501,2.177,0.049222,0.867,0.44316,10.7016,-0.3648231293,0.753,29,0.160221,8.28159E-05,0.919099,32,0.510734,1
