"Functional","Start","aveMAF","1000G_SNPs","1000G_SNPsDensity","Max_covariance","InteractionMIN","InteractionAVE","Genome_copy_number","GC_percentage","MFE","Accessibility","RNAcode_score","RNAalifold_score","Dfam_min_distance","Dfam_sum_distance","MeanPhyloP","MaxPhyloP","MeanPhastCons","MaxPhastCons","Fickett_score","Min_Cov_Eval","mammals_mean_gerp","mammals_max_gerp","gnomAD_SNP_count","gnomAD_SNP_density","gnomAD_avg_MAF","RPKM_tissue","MRD_tissue","RPKM_primary_cell","MRD_primary_cell"
"No",130414457,0.01296,60,0.0225564,15.11,-18.33,-11.1068,1,37.0537,-694.9,"NA",7.46,-381.5,6,737,0.0146871,3.205,0.0551893,0.999,0.28498,43.279,-1.312304162,2.55,457,0.171805,0.00154193,0.491526,124,3.18804,80
"No",108888060,0.0983626,4,0.0268456,29.46,-9.27,-5.38219,1,40,-30.9,33.9361,4.24,-0.45,146,298,-0.0692621,1.656,0.0174291,0.678,0.35722,3.38653,-0.7006049296,1.5,33,0.221477,0.0131877,0.226787,7,0.148536,3
"No",220507980,0.0230631,4,0.0197044,13.54,-11.57,-5.92312,1030,34.8039,-41,45.23125,3.1,-14.72,367,1306,0.0236885,1.536,0.0159786,0.101,0.35235,35.6942,-0.3723293413,1.52,29,0.142857,0.00250991,0.162963,6,0.190114,0
"No",90332162,0.000499201,2,0.0163934,11.52,-9.95,-3.7525,1,36.5854,-29.9,32.02017,3.84,-12.02,6,266,0.13827,1.376,0.0531818,0.498,0.38785,18.2112,-0.3157386364,0.61,29,0.237705,6.66986E-05,2.39934,3,2.05652,4
"No",89413187,0.0488418,5,0.0359712,12.3,-9.73,-4.70172,1,27.1429,-17.8,21.54562,9.25,-170.09,28,71,0.113917,0.365,0.180988,0.483,0.36965,3.97542,-0.1567356322,0.481,36,0.258993,0.00467344,1.11227,8,1.42096,26
"No",139708843,0.00145696,2,0.0168067,10.89,-12.11,-4.7924,111634,54.1667,-37.6,40.07385,5.24,-43.97,24,70,0.182362,1.565,0.0549182,0.201,0.46066,65.8774,-0.1547959184,0.309,14,0.117647,0.000176838,1.01985,5,0.257875,6
"No",129229554,0.00053248,3,0.0576923,28.28,-15.23,-5.54759,1,56.6038,-12.7,14.1429,5.37,0,150,512,-0.161404,1.917,0.00275,0.014,0.31232,97.45,-0.3779756098,0.582,9,0.173077,2.79336E-05,1.19539,3,2.08283,17
"No",90883153,0.000199681,3,0.0201342,37.69,-15.87,-7.267,1,60,-31.4,33.20915,4.08,-5.77,30,2727,0.538021,5.206,0.33855,1,0.39127,16.0845,0.09991034483,3.91,36,0.241611,4.03217E-05,11.6743,453,31.6306,819
"No",72555589,0.000456413,6,0.0461538,9.07,-12.34,-4.31522,17825,58.0153,-48.6,50.00103,6.26,-76.34,133,361,0.0492837,0.435,0.229319,0.801,0.45821,80.4341,-0.04907142857,0.204,20,0.153846,0.000272271,1.74436,9,4.49842,22
"No",198234,0.00019968,1,0.0116279,28.8,-10.83,-6.111,1,52.8736,-20.2,23.55014,4.38,0,145,764,-0.281316,2.332,0.00116826,0.049,0.34844,98.75,-1.171404865,1.3,16,0.186047,3.35682E-05,1.13291,18,3.76814,52
"No",49691386,0.0044429,4,0.0236686,66.97,-12.74,-4.70625,1,44.7059,-41.1,44.42768,7.45,0,11,646,1.11155,5.65,0.561427,1,0.33311,99.85,-0.5437607317,2.49,16,0.0946746,0.00309026,0.741994,22,0.603663,28
"No",146174428,0.00279553,1,0.037037,22.31,-6.76,-3.813,1,14.2857,-0.1,0.8051303,1.02,0,215,1382,0.177926,1.966,0.00725926,0.046,0.29725,99.75,-1.496673077,1.58,7,0.259259,0.000254317,4.33048,11,24.0654,102
"No",118936167,0.192692,4,0.0305344,9.75,-12.95,-4.68065,1,45.4545,-25.8,27.96128,6.18,-51.54,7,138,0.0135487,0.593,0.0595469,0.168,0.43878,64.7746,-0.14668,0.342,28,0.21374,0.0260893,1.4365,5,0.75087,18
"No",101669320,0.00244609,3,0.0348837,43.27,-13.43,-4.05862,1,33.3333,-12.6,14.51028,2.91,0,950,2570,0.406349,2.782,0.112994,0.933,0.41364,98.5,-1.428024419,3.96,26,0.302326,0.000336331,2.4003,42,9.74426,216
"No",155149406,0.101997,3,0.0194805,17.53,-11.42,-4.99531,32,42.5806,-28.4,31.27658,4.48,-1.67,70,237,0.321269,1.92,0.475672,0.995,0.41919,5.27836,-0.7038924658,2.31,28,0.181818,0.0149892,0.995851,5,0.772468,8
"No",478995,0.00136146,9,0.0439024,3.78,-13.12,-6.28152,8832,46.1165,-49.8,53.52037,10.72,-417.49,172,1370,0.0424683,0.227,0.125094,0.438,0.35686,0.125881,0.1055337662,1.22,49,0.239024,0.000334124,1.98161,16,1.61589,24
"No",114658422,0.00039936,5,0.047619,28.93,-12.03,-4.90467,1,57.5472,-33.2,35.10152,2.34,0,659,1458,-0.16879,1.773,0.00299608,0.036,0.30237,99.6,-1.3817,1.63,21,0.2,0.00010076,2.10042,26,0.37871,16
"No",5049025,0.0791099,10,0.0288184,15.73,-15.46,-7.32235,1,26.7241,-29.9,37.59455,3.68,-1.03,27,218,-0.027502,3.517,0.0921108,0.998,0.40927,2.4985,-0.9584073559,1.41,96,0.276657,0.00971695,0.779052,20,0.315617,1
"No",52565958,0.00023296,6,0.0280374,37.42,-13.47,-6.4297,1,46.5116,-53.5,56.85808,4.08,0,179,483,-0.0615159,3.651,0.0425394,0.9,0.46209,99.3,-1.664365,2.17,42,0.196262,4.12167E-05,25.0436,461,45.2064,8
"No",85779622,0.0930845,6,0.0821918,52.9,-11.73,-5.31217,1,36.4865,-9.7,10.51437,4.27,0,352,1493,0.937313,8.818,0.369154,1,0.42607,95.5,-2.22825,2.63,29,0.39726,0.0236338,6.76351,109,42.5175,513
"No",43538131,0.0088858,2,0.05,5.61,-7.97,-3.45455,246,24.3902,-1.4,2.791875,20.47,-335.18,394,1271,0.070625,0.216,0.0817,0.108,0.3219,3.63056,-0.0764,0.191,7,0.175,0.00353271,1.07869,6,0.854522,1
"No",119410239,0.0144043,39,0.0241486,4.84,-17.93,-9.08059,2813,33.6634,-349,384.5434,17.23,-367.43,223,641,0.0700146,0.228,0.194109,0.79,0.31183,0.766657,-0.1900345304,1.25,285,0.176471,0.00191515,0.120712,28,0.032242,6
"No",74442,0.0252929,3,0.00699301,"NA",-17.29,-8.02735,42595,38.1395,-90.6,99.60678,"NA",-271.25,28,627,0.0172722,0.064,0.214915,0.383,0.41917,"NA","NA","NA",337,0.785548,0.00313095,1.47761,3,3.80121,3
"No",43694548,0.0505712,35,0.0229058,11.8,-19.42,-11.2671,260902,47.155,-463.7,"NA",10.75,-317.79,45,284,-0.131052,3.994,0.0277566,1,0.37359,11.6774,-1.231099721,2.38,296,0.193717,0.00819375,0.0529503,6,0.0891263,12
"No",69455567,0.00047424,8,0.020202,19.27,-16.52,-7.90735,2,51.3854,-125,134.7383,9.2,-61.89,20,81,0.197426,1.128,0.118684,0.857,0.33085,95.9274,-0.2508477366,0.441,71,0.179293,5.62341E-05,1.12938,29,2.30063,101
"No",62380,"NA","NA","NA",27.78,-7.72,-3.99385,4,40,-13.8,14.66294,3.14,0,138,1414,0.0743423,3.264,0.0263465,0.899,0.3173,98.8,"NA","NA",13,0.188406,8.81246E-05,2.63694,21,1.90335,43
"No",44593298,0.0187035,4,0.0150943,2.42,-9.95,-4.63926,1,16.1654,-21.6,26.24042,6.44,-17.26,42,84,0.107538,0.291,0.319891,0.799,0.32803,33.0093,-0.04470116279,0.163,84,0.316981,0.001466,0.405457,5,0.979555,5
"No",134969509,0.00980132,30,0.0202429,6.21,-15.54,-9.95029,191610,44.3695,-426.2,453.4953,10.27,-456.66,102,2861,0.0851945,1.897,0.0592548,0.71,0.3611,2.24003,-0.2892798043,1.45,289,0.195007,0.00380841,0.951255,297,0.165468,24
"No",17226884,0.00114816,4,0.0540541,20.85,-10.66,-5.05926,1,30.6667,-5.4,6.854184,2.53,-5,38,1570,0.0541765,1.262,0.0437707,0.477,0.31658,7.95556,-0.4479911765,1.11,23,0.310811,0.000105737,27.2027,492,6.43804,139
"No",105087592,0.234226,3,0.0215827,16.55,-8.34,-4.24806,1,35.7143,-27.2,30.73547,3.74,-7.68,8,47,0.733242,2.692,0.747067,1,0.41396,18.9967,-0.9663107692,2.06,33,0.23741,0.0265415,0.579707,17,0.495358,3
"No",136177572,0.0819261,7,0.0409357,38.48,-13.29,-6.44333,1,57.5581,-65.4,68.00946,4.7,-2.15,153,3765,0.502222,5.728,0.297672,1,0.39562,4.48879,-1.466356291,2.58,48,0.280702,0.0115187,0.838456,1,0.350313,0
"No",52010396,0.00464911,45,0.026362,6.04,-19.89,-10.2368,300933,43.5012,-570.6,"NA",16.97,-1000.68,281,602,0.115141,1.613,0.0951554,0.996,0.34579,2.72353,-0.3196424649,1,548,0.321031,0.00214297,0.231458,37,0.096304,4
"No",26083529,0.114788,6,0.0148515,18.77,-17.58,-7.73765,1,40.9877,-95.7,105.0256,4.5,-11.76,111,257,0.0151434,1.572,0.00860438,0.201,0.40253,33.5567,-0.6881747814,1.17,78,0.193069,0.00916931,5.56158,4,6.26173,9
"No",123994640,0.00786565,21,0.0224599,15.07,-15.25,-9.10882,1,43.0556,-245.5,263.7036,38.22,-110.98,416,1237,0.113736,8.82,0.0955047,1,0.4635,15.4695,-1.132072934,2.24,219,0.234225,0.00401868,0.788766,51,0.0512083,13
"No",127858241,0.0140884,9,0.0502793,7.86,-14.58,-6.46147,111851,54.4444,-60.2,64.08222,6.91,-68.38,69,223,-0.0102205,0.244,0.0293181,0.076,0.47519,67.9284,-0.0815625,0.164,51,0.284916,0.00275471,0.164056,3,0.237042,0
"No",189013992,0.0620008,4,0.0178571,21.62,-11.94,-5.47324,3,41.3333,-52.6,56.82684,5.05,-0.6,122,392,-0.19162,2.161,0.00210084,0.076,0.38783,2.32308,-0.8705543056,1.46,39,0.174107,0.00596979,7.57853,146,6.83241,304
"No",106971893,0.000199681,1,0.00925926,54.26,-10.68,-3.86273,1,23.8532,-11.7,14.63247,1.21,0,105,2301,0.93177,4.659,0.532028,1,0.41554,97.25,-0.07688469388,2.92,23,0.212963,1.36511E-05,57.2365,715,73.0473,1723
"No",231508565,0.000499201,2,0.0192308,37.74,-12.28,-5.5269,1,42.8571,-18.5,20.62333,2.97,0,622,1796,-0.123783,2.648,0.0233705,0.43,0.36941,98.8,-1.698543434,2.64,21,0.201923,1.3626E-05,2.47437,20,0.60857,9
"No",29185783,"NA","NA","NA",25.81,-15.46,-5.18655,1,56.1404,-35.8,37.80212,4.03,-1.22,298,1796,-0.0947405,2.075,0.00358043,0.091,0.38192,3.21309,-0.7496046226,1.2,15,0.132743,3.07063E-05,1.84201,9,2.27635,14
"No",30413954,0.192407,7,0.0304348,7,-12.18,-6.81647,338,44.5887,-61.1,65.21652,15.3,-286.2,86,350,0.0746087,0.665,0.13357,0.86,0.41139,1.62017,"NA","NA",129,0.56087,0.0139755,0.164436,8,1.0201,6
"No",64918527,0.000199681,1,0.0217391,11.06,-9.2,-4.84864,1842,55.3191,-11.8,12.73815,8.82,-35.28,64,305,-0.142848,0.6,0.00328261,0.014,0.42293,40.6014,-0.3953529412,0.573,9,0.195652,2.01794E-05,2.73874,4,5.58639,18
"No",147881471,0.0890065,30,0.0226586,5.59,-12.63,-7.79206,42,27.0189,-251.5,280.7714,8.41,-219.13,39,247,0.139384,3.162,0.171179,0.983,0.38942,1.53161,"NA","NA",215,0.162387,0.00575028,0.488847,22,0.0795642,5
"No",203745074,0.00678915,2,0.0183486,8.63,-9.69,-4.89107,28235,48.1818,-30.8,32.05593,8.02,-54.16,10,251,0.191255,0.6,0.232099,0.578,0.43669,48.641,-0.3723913043,0.537,31,0.284404,0.000893913,0.404805,8,0.96789,16
"No",183472063,0.0574535,10,0.0606061,5.53,-21.22,-5.59125,128409,49.3976,-35.7,39.18818,8.54,-112.26,380,957,0.0617921,0.916,0.0417595,0.138,0.4299,99.7217,-0.08723076923,0.83,46,0.278788,0.0135588,0.598635,19,0.408125,2
"No",122660706,0.0675587,5,0.037594,32.95,-13.99,-5.81839,7,52.2388,-32.3,34.12568,49.11,-17.91,18,3782,2.73883,6.801,0.908073,1,0.45623,34.7365,0.3100705128,2.38,34,0.255639,0.0402979,1.13354,38,1.34451,6
"No",66002144,0.000331125,4,0.011236,12.53,-17.88,-7.31971,187,42.2969,-86.1,92.55808,16.65,-180.09,618,1550,0.0916209,0.347,0.0965072,0.424,0.42543,1.56635,-0.1048220339,0.224,66,0.185393,2.18842E-05,0.634992,4,0.188628,3
"No",55068927,0.0005298,2,0.021978,3.06,-6.58,-2.69095,87,41.3043,-22,24.2478,14.49,-395.85,124,2032,0.0186603,0.181,0.102173,0.232,0.38129,1.84953,-0.0905,0.18,15,0.164835,2.90385E-05,1.91379,14,8.21171,4
"No",20231834,0.00029952,4,0.056338,10.96,-9.02,-4.948,1,36.1111,-4.5,6.714862,3.09,-2.97,197,4898,-0.582814,1.121,0.000495443,0.005,0.32219,8.74687,-0.5022188679,0.628,26,0.366197,4.11285E-05,1.21223,6,0.459366,2
"No",181437265,0.014377,2,0.0165289,32.67,-6.88,-3.97042,1,27.8689,-23.7,26.71334,5.38,0,101,972,-0.0855826,2.935,0.0100571,0.178,0.35878,96.2,-1.506052174,2.3,30,0.247934,0.000867447,0.441518,3,0.407912,3
"No",53248207,"NA","NA","NA",9.16,-10.78,-5.63222,2023,48.3871,-24.1,25.79899,7.73,-60.22,7,195,-0.0471151,0.347,0.017665,0.065,0.34028,74.871,-0.2925384615,0.503,11,0.119565,2.85658E-05,0.713141,1,2.31174,3
"No",169791744,"NA","NA","NA",10.99,-10.47,-3.95321,1,31.3043,-13.7,16.85674,8.53,-159.08,35,213,0.107272,0.335,0.158944,0.432,0.37228,7.09496,-0.3151466667,0.556,17,0.149123,6.28676E-05,1.59575,27,1.84245,5
"No",69077,"NA","NA","NA",51.87,-10.28,-3.56286,4,36.8932,-21.3,22.77209,6.05,0,840,1757,0.121779,6.819,0.137814,1,0.42002,98.05,"NA","NA",16,0.156863,0.000598637,5.56618,18,15.9875,4
"No",38759406,0.0081869,6,0.0289855,10.85,-10.69,-5.62656,112344,49.0385,-68.8,74.7546,0.72,-33.67,9,317,-0.225594,1.721,0.00242612,0.036,0.34681,52.8823,-0.604203012,2.14,37,0.178744,0.00136346,0.641908,12,2.0111,56
"No",167271134,0.00428545,9,0.0497238,"NA",-15.55,-6.71469,3,53.2967,-63.2,65.80634,8.59,-136.3,47,270,0.0114256,0.584,0.160874,0.313,0.42434,"NA",-0.2290719101,0.475,50,0.276243,0.00341786,0.652724,17,0.180193,0
"No",43903573,0.066782,8,0.0344828,"NA",-21.01,-8.52529,1704,55.3648,-77.2,82.08196,8.3,-93.87,116,235,0.0287822,0.608,0.101228,0.354,0.36584,"NA",-0.2667810219,0.936,52,0.224138,0.0112745,0.108348,1,1.20505,1
"No",75185586,0.000299521,2,0.0215054,4.52,-11.11,-4.84774,86589,51.0638,-24.1,26.09367,14,-29.69,160,1131,-0.120059,0.46,0.0217372,0.163,0.45309,33.8157,-0.1008148148,0.204,26,0.27957,2.90674E-05,2.5211,2,2.11449,2
"No",102383372,0.00113152,3,0.0517241,9.14,-6.16,-2.386,3085,55.9322,-20.9,21.85966,4.97,-9.67,442,1966,-0.172655,0.663,0.00405172,0.018,0.4744,16.2946,-0.366173913,0.399,22,0.37931,1.85105E-05,2.9355,4,7.1876,13
"No",55155814,0.108959,3,0.0174419,33.18,-9.8,-4.77355,1,42.1965,-40.9,42.55027,4.55,0,353,893,0.413787,3.85,0.141709,1,0.37427,99.1,-0.6144740116,2.8,32,0.186047,0.00846497,0.781622,18,1.77041,36
"No",8062174,0.123003,3,0.03,27.17,-15.09,-4.21241,4,29.703,-11.8,14.53554,5.83,0,62,477,0.145523,1.881,0.0278041,0.583,0.33356,99.85,-0.499512,1,21,0.21,0.0270328,3.91861,17,3.68515,8
"No",15089080,0.0715855,12,0.0888889,10.88,-15.91,-5.93333,1,29.4118,-20,21.86902,3.45,-1.8,23,815,-0.375791,2.42,0.0120251,0.172,0.26535,9.18167,-0.0859875,0.23,141,1.04444,0.0120318,0.659527,2,0.377488,4
"No",70757230,0.00975107,2,0.0131579,30.96,-14.18,-4.38455,1,39.8693,-35.8,39.67871,2.49,0,466,984,0.111169,3.134,0.0064642,0.101,0.40807,98.05,0.1186194342,5.6,49,0.322368,0.0283698,31.987,29,6.72842,26
"No",228127844,0.00567111,43,0.0206136,4.49,-19.18,-10.635,613105,44.8011,-632,"NA",22.93,-997.67,27,96,0.00122964,1.006,0.0642203,0.669,0.31546,96.0119,-0.4497385483,0.829,386,0.185043,0.000892153,0.104671,29,0.0366672,10
"No",121874,0.00658945,2,0.00114025,5.67,-19.39,-10.3118,324495,37.037,-425.9,457.0677,9.86,-374.8,101,335,0.0869648,1.55,0.0950494,0.876,0.31514,1.76383,-0.06296789942,3.21,504,0.287343,0.000967379,1.2967,40,0.280619,17
"No",177312128,0.000399361,1,0.00847458,36.31,-12.91,-5.25897,1,63.8655,-39.6,42.51019,4.89,0,363,1283,-0.657492,1.333,0.000635842,0.039,0.35908,98.65,-1.516715596,1.73,32,0.271186,0.000100085,2.67444,45,11.4708,189
"No",169778797,0.222294,2,0.027027,4.71,-9.45,-3.96826,54,32,-11.1,12.57578,15.41,-43.48,310,1023,0.0891137,1.007,0.106067,0.362,0.3658,59.8028,-0.1794565217,0.856,75,1.01351,0.0120379,1.2633,10,2.83836,4
"No",107851748,0.00084864,4,0.040404,17.88,-9.4,-3.76286,1,40,-27.3,28.79029,6.38,-33.92,35,312,0.253625,0.939,0.220012,0.748,0.44003,81.7351,-0.2962234043,1.36,16,0.161616,0.000166216,1.05816,5,1.61357,1
"No",3043744,0.00159744,2,0.00896861,7.99,-11.55,-6.64606,41291,41.5179,-54.5,58.39266,7.68,-61.83,65,177,0.0176457,0.291,0.0740671,0.322,0.39749,82.5855,-0.0806741573,0.191,56,0.251121,6.2352E-05,0.296617,1,0.164538,0
"No",41618382,0.0121805,1,0.0116279,29.96,-10.95,-5.2488,1,52.8736,-17.1,19.08565,7.49,-2.79,22,362,-0.204895,1.781,0.00530232,0.085,0.42326,15.3993,-0.186625,2.86,16,0.186047,0.000568771,0.513066,1,0.911115,3
"No",7571873,"NA","NA","NA",2.31,-4.95,-2.18167,0,5.66038,-12.9,13.79278,5.93,-35.59,296,4262,0.609962,3.383,0.9945,1,0.22328,45.3672,0.645483871,2.94,295,5.67308,0.0104498,5.92962,20,12.5004,31
"No",10512955,0.000748802,2,0.0145985,17.42,-10.13,-3.97448,1,35.5072,-28.9,31.66878,4.5,-7.43,15,906,0.0432246,1.788,0.0460195,0.682,0.32823,18.934,-0.5978816393,1.31,24,0.175182,4.15915E-05,3.78636,44,2.47276,73
"No",168338163,0.0004992,4,0.0353982,20.02,-19.83,-7.60581,1,50,-14.11,15.37339,6.56,-20.94,572,1583,0.14694,0.989,0.0970893,0.779,0.32876,50.7,-0.3127804878,0.662,22,0.19469,4.38024E-05,0.693003,12,1.17243,24
"No",46098236,0.00978435,2,0.025641,11.25,-12.82,-5.98792,9726,54.4304,-16.2,17.75066,5.48,-3.3,45,348,-0.0582327,1.54,0.00872021,0.046,0.36281,14.997,-0.2566181818,0.781,18,0.230769,0.00238771,0.775612,8,0.847038,2
"No",108423511,0.194855,4,0.0353982,21.82,-12.1,-5.5536,1,25.4386,-10.5,13.54717,2.4,0,271,1100,-0.224608,1.635,0.00697345,0.08,0.34123,98.6,-0.5473988776,1.11,32,0.283186,0.0367416,2.3233,46,0.690393,8
"No",66484996,0.00164352,11,0.0359477,26.34,-11.1,-6.51353,1,34.202,-58.4,65.81914,3.28,-0.28,31,402,-0.124784,2.783,0.0192613,0.549,0.33759,3.23195,-1.463016318,1.85,65,0.212418,0.000437232,0.178386,12,0.0333078,0
"No",45309317,0.0201278,5,0.0416667,3.68,-11.22,-3.9092,159188,51.2397,-33.2,34.90521,15.18,-1774.2,42,193,0.0116074,0.137,0.141415,0.308,0.45909,3.52536,-0.01385882353,0.0525,29,0.241667,0.00339252,1.99233,3,1.34358,2
"No",179861965,"NA","NA","NA",16.01,-10.39,-5.24462,1,50,-21,22.71733,3.61,-0.25,126,662,0.0656085,2.649,0.0022838,0.013,0.42417,3.75449,-0.947975,1.47,11,0.142857,1.58702E-05,35.3548,76,64.6669,105
"No",59878338,0.0562211,33,0.0199035,4.58,-17.53,-9.91441,261820,41.531,-489.4,"NA",12,-502.93,70,291,-0.0240682,2.833,0.0263797,0.954,0.33899,88.7885,-0.6018931609,1.42,459,0.27684,0.00579094,0.0916743,9,0.0648269,12
"No",93601006,0.011648,3,0.0243902,38.63,-18.72,-5.16194,1,41.129,-23.2,25.80992,3.13,0,290,18254,0.603994,3.703,0.336297,1,0.41083,98.25,-0.3782781513,2.02,18,0.146341,0.00128497,1.31024,13,0.426963,12
"No",16718564,0.000599042,1,0.0120482,33.09,-9.83,-4.79478,1,30.9524,-6.1,7.846817,3.68,0,204,1438,0.233871,3.706,0.0309681,0.668,0.38835,95.5,-1.50956747,2.39,19,0.228916,5.84095E-05,3.3809,9,0.984592,3
