"Functional","Start","aveMAF","1000G_SNPs","1000G_SNPsDensity","Max_covariance","InteractionMIN","InteractionAVE","Genome_copy_number","GC_percentage","MFE","Accessibility","RNAcode_score","RNAalifold_score","Dfam_min_distance","Dfam_sum_distance","MeanPhyloP","MaxPhyloP","MeanPhastCons","MaxPhastCons","Fickett_score","Min_Cov_Eval","mammals_mean_gerp","mammals_max_gerp","gnomAD_SNP_count","gnomAD_SNP_density","gnomAD_avg_MAF","RPKM_tissue","MRD_tissue","RPKM_primary_cell","MRD_primary_cell"
"Yes",636735,0.000519168,9,0.126761,72.93,-19.97,-4.38486,127,61.9718,-33.3,34.37338,0.25,0,2338,6678,1.78813,9.238,0.822163,1,0.42291,99.5,2.046666667,2.33,75,1.05634,0.000111644,2159.49,8013,15611.1,8011
"Yes",7577954,0.000399361,1,0.00729927,42.14,-11.64,-3.78278,73,52.5547,-43.6,45.47586,1.54,-1,446,1916,0.810924,5.453,0.453425,1,0.38625,1.31063,-0.6530673077,2.83,38,0.277372,3.26876E-05,88.3409,1286,1706.42,8052
"Yes",82898139,0.000199681,1,0.0116279,34.18,-12.65,-3.78817,47,32.5581,-19,20.31704,3.18,-6.93,428,1214,2.20918,4.924,0.687767,1,0.37212,5.62382,0.9944705882,4.11,22,0.255814,2.2217E-05,387.138,8013,2517.9,8018
"Yes",8120313,0.000199681,7,0.0853659,36.33,-11.83,-4.28313,191,63.4146,-36,37.95746,5.83,-26.34,491,1022,2.71179,3.841,0.879262,1,0.34532,11.5393,"NA","NA",69,0.841463,3.58068E-05,295.471,669,4174.7,8011
"Yes",45337479,0.000379392,8,0.0615385,63.5,-11.03,-4.10533,92,43.0769,-40.8,42.30467,3.84,-5.4,88,781,3.37897,7.839,0.778161,1,0.44959,16,0.3921276596,2.31,41,0.315385,5.00454E-05,619.163,2914,1006.77,8013
"Yes",47335314,0.148313,3,0.015,10.67,-15.37,-4.73238,33249,53,-52.9,57.39046,2.7,-31.52,128,686,-0.0309465,1.786,0.0190771,0.169,0.40642,36.1047,-0.3287662338,0.816,188,0.94,0.00392309,1063.9,8067,239.617,8076
"Yes",109165310,0.00948485,4,0.0481928,13.44,-12.94,-4.15689,49,43.3735,-18.4,20.53021,3.53,0,92,340,0.00939264,1.492,0.00651524,0.047,0.36046,97.75,-0.892416,1.55,18,0.216867,0.000934661,1.19006,17,7.02269,511
"Yes",140718925,0.0170804,12,0.136364,20.93,-16.64,-4.08494,63343,54.5455,-31.8,33.50075,4.34,-26.23,31,510,-0.0853075,2.947,0.4104,1,0.30252,23.3753,-0.8188128205,1.82,78,0.886364,0.00275274,3.12797,32,218.802,3494
"Yes",149597954,0.000765443,6,0.0833333,41.97,-13.54,-4.76215,169,55.5556,-26.9,27.9874,4.43,-5.96,337,1584,0.745938,2.454,0.801963,1,0.46762,11.4693,"NA","NA",24,0.333333,0.000299867,11.7313,62,100.512,126
"Yes",27051213,0.00118146,12,0.164384,29.42,-12.12,-3.97596,43,58.9041,-32,32.20431,3.93,-31.5,1560,7092,3.47783,4.274,0.948059,1,0.41342,6.53055,3.4225,3.43,110,1.50685,0.000191569,313.975,4082,2453.95,4427
"Yes",173866878,"NA","NA","NA",44.14,-15.02,-3.56301,76,41.6667,-15.6,16.8508,2.23,-3.29,139,439,3.1662,5.886,0.809783,1,0.39219,5.82683,-0.1046117241,2.49,13,0.216667,1.23519E-05,4121.03,8016,4875.63,8023
"Yes",62853903,0.00159744,4,0.0615385,31.37,-11.26,-3.64844,109,36.9231,-6.9,8.100672,3.69,-5.09,1455,4045,2.87548,5.752,0.747938,1,0.4357,6.09843,0.1148976744,3.07,21,0.323077,0.000162817,373277,8021,145032,8026
"Yes",148963314,0.00179713,7,0.0729167,49.38,-12.05,-4.12265,185,41.6667,-31.2,32.43812,6.1,-19.4,85,1199,2.16322,4.416,0.946278,1,0.44932,8.81549,"NA","NA",51,0.53125,0.000223433,42488.2,8031,6969.33,8023
"Yes",28648599,0.00109136,55,0.407407,87.78,-13.17,-3.51372,115,51.1111,-51.9,53.77323,3.37,-36.18,145,318,3.66566,8.837,0.740695,1,0.4315,24.8573,0.780171875,4.44,276,2.04444,0.000357262,2127.81,8042,5609.95,8011
"Yes",154774997,0.000529801,1,0.00775194,34.6,-19.11,-4.76891,107,48.8372,-48.8,51.21347,1.6,0,0,2879,0.676542,5.944,0.301697,1,0.3916,96.4,-0.58526848,2.1,12,0.0930233,2.20156E-05,3.56703,85,17.558,366
"Yes",92837288,0.00073216,3,0.0315789,73.32,-15.45,-3.6956,68,45.2632,-21,23.63398,3.7,-5.38,372,1072,3.18975,8.008,0.770942,1,0.45363,9.66002,1.30630678,3.51,20,0.210526,2.72249E-05,1745.81,8016,909683,8038
"Yes",155919908,0.000399361,1,0.00746269,37.7,-13.8,-4.00827,13,54.4776,-49.7,51.84193,3.89,-0.74,117,607,0.427197,4.269,0.268769,1,0.28392,11.5524,-0.466312,2.48,31,0.231343,2.79572E-05,132.981,4287,296.708,6227
"Yes",93516276,0.00749912,9,0.123288,"NA",-12.47,-4.71475,61748,56.9444,-28.3,29.59793,8.14,-448.55,186,394,0.0419819,0.089,0.3134,0.399,0.46543,"NA",0.9452586207,1.94,45,0.616438,0.00141342,57.5177,154,1061.71,661
"Yes",101272935,0.000199681,1,0.00877193,51.88,-17.4,-4.58047,34,47.3684,-23.8,26.72257,1.8,-11.05,422,3088,2.92249,6.455,0.74194,1,0.48312,10.2464,-0.1566458333,2.43,20,0.175439,2.86172E-05,1163.21,8009,499.39,2971
"Yes",143691473,0.00192194,6,0.0833333,17.69,-14.18,-3.94434,71,52.7778,-25.4,26.58111,3.75,-13.74,444,1852,0.368138,1.325,0.707589,1,0.42415,17.7324,"NA","NA",48,0.666667,0.000472765,436.371,634,3717.22,8020
"Yes",62855291,0.00255592,4,0.0533333,26.44,-14.96,-4.66257,169,40,-10.9,13.21143,1.75,-0.11,1192,4035,1.32838,4.987,0.57244,1,0.40027,2.095,-1.477351852,3.09,38,0.506667,0.000386826,85740.1,8029,170397,8033
"Yes",19508180,0.000199681,4,0.0555556,26.47,-12.49,-4.28919,123,58.3333,-25.7,27.10098,2.59,-25.92,613,1553,0.926174,1.856,0.806306,1,0.35908,9.01704,1.1364,1.37,72,1,2.33994E-05,177.818,1636,2551.81,8004
"Yes",49497718,0.000249601,4,0.045977,41.66,-11.88,-4.20553,38,48.8636,-26.5,27.97461,3.39,-1.01,94,509,1.3754,8.25,0.411097,1,0.41718,1.25421,-0.2439863014,2.76,19,0.218391,2.05805E-05,1412.46,8020,16900.8,8017
"Yes",149589072,"NA","NA","NA",16.64,-12.31,-4.1098,103,56.9444,-27.3,28.88363,7.51,-22.8,225,530,2.09092,3.7,0.870353,1,0.45896,18.0057,2.487468085,3.65,20,0.277778,0.00016126,9.71771,25,200.446,2640
"Yes",149375758,0.001664,3,0.0416667,33.79,-15.55,-4.15032,115,54.1667,-24.5,26.43861,2.85,-8.76,57,345,0.840247,2.374,0.815204,1,0.39822,7.2073,0.7085384615,2.71,22,0.305556,0.000181544,9.17663,38,160.14,72
"Yes",204506526,0.000228206,14,0.191781,22.93,-13.84,-4.24953,74,56.1644,-29.6,30.36888,3.45,-29.35,33,313,2.41228,3.287,0.91917,1,0.38973,19.2421,0.8963333333,1.28,153,2.09589,4.17452E-05,5650.14,8016,7436.05,8010
"Yes",62855564,0.0297025,4,0.0597015,35.89,-11.62,-4.03834,84,44.7761,-14.5,15.37101,2.77,-0.94,927,4043,1.62591,4.537,0.569239,1,0.32429,1.44769,-0.5702413043,3.29,29,0.432836,0.00312974,28452.5,8022,20583.3,8029
"Yes",136726746,0.0108227,4,0.0300752,40.49,-21.48,-3.84486,117,52.6316,-53.1,54.3764,6.18,-16.68,284,1094,2.26344,6.23,0.72038,1,0.42358,18.3053,0.005861111111,2.14,35,0.263158,0.000492917,70.9271,1603,847.481,8025
"Yes",77089306,0.0938167,5,0.026738,27.83,-12.57,-3.90631,48,48.6631,-65.4,68.8622,5.2,-28.83,84,922,2.0712,6.358,0.618027,1,0.39439,23.0734,-0.1327144654,2.81,38,0.203209,0.0154838,37.3507,1459,1905.95,8038
"Yes",6581472,0.00379395,4,0.0291971,42.26,-14.96,-4.17842,70,51.0949,-52.6,54.17585,2.39,-5.25,273,719,1.70385,6.078,0.63891,1,0.35376,7.6106,0.3233168142,2.33,34,0.248175,0.00118771,349.693,7626,115.215,8001
"Yes",67839938,0.0013229,23,0.214953,26.31,-12.63,-3.67661,350,45.7944,-26.6,28.6504,5.76,-27.17,427,1224,2.04404,3.438,0.914315,1,0.40641,23.0075,1.224783505,2.82,119,1.11215,0.000208906,325.706,308,3603.89,8002
"Yes",39411053,0.00056576,6,0.038961,63.96,-15.47,-4.36518,100,47.4026,-50.6,53.30432,3.13,-13.05,13,195,2.67153,8.353,0.750469,1,0.48033,6.56421,0.3016300752,3.37,41,0.266234,5.5982E-05,189.249,1176,7196.43,8050
"Yes",25222353,0.000199681,2,0.027027,14.15,-16.04,-4.19151,29,39.1892,-10.2,12.57396,6.45,-3.96,29844,77351,0.33969,1.633,0.458384,0.998,0.46398,8.80727,-0.7348888889,1.66,15,0.202703,2.41885E-05,65.7288,63,1.67639,2
"Yes",146038043,0.000332801,3,0.0416667,21.97,-15.17,-4.37876,66,56.9444,-26.9,27.98162,5.58,-24.9,151,698,1.94316,2.836,0.950639,1,0.39558,16.7417,"NA","NA",61,0.847222,1.69775E-05,9263.51,72,48708.8,326
"Yes",2329124,0.000199681,3,0.0348837,24.82,-15.56,-4.31932,33,39.5349,-17.6,20.00548,1.87,-6.89,81,792,2.19127,5.875,0.686041,1,0.4472,13.9096,0.7572106667,3.99,18,0.209302,1.59013E-05,839.792,8017,557.742,2142
"Yes",39408390,0.000399361,1,0.00671141,67.64,-15.75,-4.00918,201,48.3221,-49.5,52.89054,3.32,-4.87,280,1099,1.40105,5.709,0.71532,1,0.30703,3.23523,0.3456969231,3.18,37,0.248322,2.58407E-05,415.52,1933,1260.13,8019
"Yes",148362369,"NA","NA","NA",9.75,-16.41,-4.11625,79,54.2683,-62.2,64.81462,8.83,-6.25,406,838,0.125497,0.841,0.153021,0.909,0.44039,11.9352,"NA","NA",56,0.341463,0.000184645,448.391,679,1760.26,8008
"Yes",58559795,0.000199681,1,0.00735294,77.95,-11.3,-3.86454,131,43.3824,-37.3,38.32095,1.31,-8.56,504,1045,3.96882,8.3,0.989272,1,0.45529,11.3752,1.962139048,3.06,18,0.132353,1.35711E-05,367.981,8010,228.175,4376
"Yes",149377509,0.0725835,3,0.0416667,"NA",-16.03,-4.3991,134,56.9444,-26.4,27.56246,2.07,-27.3,280,746,0.331285,0.674,0.728971,1,0.42101,"NA",0.09250553571,1.14,41,0.569444,0.007359,96.8388,408,189.253,7958
"Yes",25232386,0.00356929,7,0.0853659,15.69,-12.14,-4.17141,173,41.4634,-15.6,17.39889,1.58,-8.75,19803,77343,0.0395215,1.797,0.0779813,0.472,0.37945,18.3033,-1.1561875,1.76,25,0.304878,0.00194364,3708.12,8020,6.7624,95
"Yes",62855011,0.00039936,3,0.0416667,37.11,-13.65,-3.74766,110,37.5,-8.2,10.39211,1.04,-1.86,1475,4038,1.40001,5.161,0.530903,1,0.40265,1.97075,-0.9551521739,2.99,20,0.277778,2.47786E-05,30192.6,8025,117705,8019
"Yes",173865349,0.000199681,1,0.0123457,41.77,-11.82,-3.94823,422,32.0988,-12.5,14.36691,2.26,0,410,2218,1.17988,5.169,0.547577,1,0.39852,96.9,-0.6424015152,2.59,10,0.123457,1.67518E-05,1080.02,8016,303316,8035
"Yes",173864832,0.00104832,4,0.056338,45.06,-15.75,-4.19284,649,38.0282,-9.6,11.28415,1.49,-3.3,35,173,2.64181,5.83,0.745519,1,0.46084,4.81939,-0.6513533333,2.59,17,0.239437,0.000272956,28340,8019,105004,8037
"Yes",26682486,0.000332801,2,0.0273973,14.31,-12.46,-4.17,60301,52.0548,-26.3,26.72516,5.18,-21.74,214,928,0.631106,1.471,0.844666,1,0.418,19.5547,-0.1516539683,1.11,4,0.0547945,0,3.45868,42,432.405,474
"Yes",38427305,0.00207668,5,0.0362319,20.9,-11.81,-4.31567,110,53.6232,-44.6,47.53604,4.46,-0.03,242,523,1.02598,5.709,0.50053,1,0.38158,7.43997,-0.4802032,2.33,26,0.188406,0.000494185,17.8715,352,1390.92,8045
"Yes",48656647,0.000199681,3,0.0222222,31.84,-11.82,-3.32465,123,43.7037,-44,45.80077,4.21,-0.81,77,397,1.51741,5.729,0.663628,1,0.45306,7.32211,-0.566934375,4.03,25,0.185185,1.95967E-05,14.4227,359,1132.17,8014
"Yes",41060737,0.00199681,6,0.0833333,16.21,-11.95,-4.1348,103,56.9444,-25.2,26.93261,5.92,-26.42,1740,4473,2.34899,3.932,0.787908,1,0.39954,17.8636,1.64177551,2.37,84,1.16667,9.43801E-05,12148.2,166,11681.6,1890
"Yes",100972669,0.00522498,5,0.0694444,23.4,-11.95,-3.95062,175,45.8333,-17.8,19.22489,2.04,0,1548,3596,-0.664201,2.829,0.00825572,0.252,0.34131,97.85,-1.713083582,2.14,20,0.277778,0.000389259,2040.6,8028,355.167,8014
"Yes",149558041,0.00539137,1,0.0136986,31.56,-14.13,-4.08643,309,52.0548,-25,25.76339,4.03,-7.54,453,1065,0.916097,2.567,0.84623,1,0.4526,17.6441,1.781931818,4.02,16,0.219178,0.000273405,9.03932,59,15.1438,74
"Yes",62853325,0.000499201,2,0.0294118,34.97,-12.87,-3.9593,105,45.5882,-17.6,18.57815,0.78,-2.67,877,4042,1.81661,4.623,0.707414,1,0.39561,2.72852,0.5973,2.9,21,0.308824,0.00013131,68202.6,8020,154153,8028
"Yes",95533354,0.0477237,8,0.0290909,53.5,-14.32,-4.08813,83,47.6364,-91.7,95.94798,5,-17.65,34,567,1.81986,7.143,0.55638,1,0.44874,22.824,-0.08827785388,2.15,73,0.265455,0.00550336,820.978,8040,769.705,8036
"Yes",12507245,0.000249601,4,0.0263158,31.39,-13.22,-3.74745,85,53.9474,-52.8,55.69779,2.6,0,331,1186,-0.836402,1.931,0.00100948,0.058,0.37355,99.1,-1.975633333,1.84,31,0.203947,3.8271E-05,15.6643,219,37.2712,1099
"Yes",146039400,0.00054912,4,0.0547945,46.02,-11.68,-4.174,145,61.6438,-30.4,30.78306,5.75,-30.43,114,434,1.64315,2.344,0.940206,1,0.40666,9.21694,"NA","NA",92,1.26027,2.13929E-05,25240.5,8025,53388.8,8013
"Yes",144551778,0.183546,5,0.030303,3.79,-12.41,-4.40952,186,51.5152,-53.3,56.36494,19.49,-39.34,386,827,0.102328,0.478,0.459436,0.961,0.44818,53.3226,1.53,2.18,93,0.563636,2.63476E-05,694.382,1340,4429.29,2900
"Yes",149310189,0.012946,6,0.0833333,26.56,-12.2,-3.99161,139,55.5556,-28.8,30.02089,4.17,-16.19,89,363,0.639408,2.161,0.764245,1,0.45625,13.5003,0.09987931034,1.46,39,0.541667,0.00331767,174.074,1014,291.115,1345
"Yes",169764609,0.00367983,7,0.0155211,40.1,-18.6,-4.95024,84,67.4058,-217,223.6615,6.68,-15.48,125,789,0.915913,5.625,0.415505,1,0.32014,23.5012,-0.4256266755,2.75,73,0.161863,0.00030733,97.357,5375,243.211,8004
"Yes",202276430,0.000370834,7,0.0795455,38.64,-15.3,-3.86941,76,37.5,-20.7,22.52261,2.73,-9.02,41,1076,2.20589,5.357,0.761451,1,0.44438,7.21865,0.1550552113,2.35,24,0.272727,0.000198818,1036.16,8023,5230.32,8017
"Yes",26532916,0.0013778,10,0.135135,33.89,-16.43,-4.10322,105,58.1081,-27.9,28.70814,3.36,-24.31,957,2165,2.97359,3.697,0.940339,1,0.36915,7.59528,1.926666667,2.24,86,1.16216,0.000156928,76.1203,448,3932.49,8004
"Yes",27618355,0.00347446,23,0.310811,20.76,-14.44,-4.05302,74,59.4595,-30.6,31.43171,6.6,-23.95,42,654,0.364467,1.385,0.585176,1,0.37394,17.797,-0.3031,1.24,120,1.62162,0.00052463,15.8008,50,28.2392,1026
"Yes",2656938,"NA","NA","NA",55.6,-11.63,-3.86195,131,44.4444,-8.9,11.37082,2.09,0,208,4413,2.63174,9.554,0.516089,1,0.41108,96.7,0.1857826087,4.03,15,0.208333,8.8448E-06,8502.58,8025,500.093,8018
"Yes",76235824,0.000199681,2,0.0277778,20.2,-16.24,-5.0666,127,61.1111,-29.6,31.55262,2.23,-27.21,238,1046,2.34336,3.6,0.875334,1,0.38775,7.03045,1.378,1.65,92,1.27778,1.96099E-05,889.503,8000,1271.11,8012
"Yes",25176831,0.00146432,5,0.0609756,17.58,-15.14,-4.21556,103,41.4634,-16.8,18.46044,2.04,-8.33,1985,77343,0.163407,1.71,0.144664,0.631,0.34947,15.0876,-0.619,1.71,29,0.353659,0.000420528,312.891,1868,3.15579,9
"Yes",149546539,0.00109824,2,0.0277778,32.17,-17.55,-4.59869,149,54.1667,-24.6,26.45813,8.63,-17.05,281,862,0.811005,2.204,0.836476,1,0.46449,14.4063,1.186131746,2.48,18,0.25,0.000129525,3.49017,24,9.03218,133
"Yes",121048431,"NA","NA","NA",19.14,-13.69,-4.28943,88,54.0541,-28.8,30.24027,5.57,-9.85,334,677,0.521759,2.191,0.49015,0.991,0.32311,14.5332,1.028505634,3.35,36,0.486486,0.000152854,247.082,1002,411.964,679
"Yes",148388489,"NA","NA","NA",11.55,-12.32,-4.21351,101,49.3827,-50.8,53.27796,8.92,-31.24,374,761,0.0776659,0.842,0.0423831,0.209,0.42048,34.8694,"NA","NA",79,0.487654,0.00139762,1535.24,8007,5114.86,8020
"Yes",26673361,0.0123302,3,0.0410959,11.05,-9.94,-3.68892,97,50.6849,-26.3,26.72599,4.04,-24.68,207,1407,0.319696,1.096,0.502776,0.986,0.42145,20.5089,-0.0714595082,1.26,"NA","NA","NA",4.73574,50,330.675,36
"Yes",123059334,0.00670038,5,0.0568182,46.73,-14.25,-4.67392,109,44.3182,-18.6,20.25845,0.33,-0.15,340,4424,1.79943,8.605,0.705804,1,0.42263,0.843387,0.1938649351,2.24,43,0.488636,0.00627663,3049.07,8018,5327.69,8032
"Yes",2330278,0.00109825,2,0.0217391,30.79,-13.27,-4.05272,116,41.3043,-26.3,27.60694,0.24,-3.96,59,1028,1.61635,5.967,0.640296,1,0.41355,2.66464,0.774904,4.05,24,0.26087,4.33229E-05,3165.07,8017,1452.27,5839
"Yes",153671249,0.000310613,9,0.125,15.96,-12.22,-3.77468,114,59.7222,-30.3,30.75099,1.56,-30.41,203,440,3.69624,4.458,0.948572,1,0.41723,12.6485,3.176666667,3.62,75,1.04167,3.12929E-05,36295.6,5736,53528.3,8015
"Yes",2155022,0.000199681,2,0.0240964,27.9,-16.28,-4.18292,67,42.1687,-13.4,15.77173,3.83,-6.17,379,1374,1.98025,5.437,0.573772,1,0.43619,7.02252,-0.08975471698,2.25,25,0.301205,2.28823E-05,14129.6,8018,3224.22,8018
"Yes",7574712,0.00029952,8,0.0592593,44.4,-15.17,-4.39235,41,53.3333,-44.8,46.82515,"NA",0,1044,4492,0.165259,3.124,0.0828392,1,0.33102,99.75,-1.293340625,2.32,31,0.22963,0.00013537,258.981,3919,1371.69,6432
"Yes",40027541,0.000848642,4,0.0384615,37.51,-14.75,-5.4104,55,49.0385,-35.8,37.4666,1.66,-9.66,461,2207,1.08034,5.201,0.563123,1,0.45173,9.29362,-0.6723234848,2.04,22,0.211538,0.000125948,3975.52,8033,3454.04,8034
"Yes",68755171,0.000199681,3,0.0447761,73.57,-10.95,-3.70647,24,38.806,-16,17.08279,1.6,-7.62,602,2769,4.32655,7.326,0.998343,1,0.40778,15,1.963477778,3.54,10,0.149254,2.93031E-05,1689.3,8030,10285.9,8015
"Yes",146037060,0.0019255,14,0.194444,23.21,-15.3,-4.67328,129,58.3333,-27.6,28.22102,"NA",-27.18,911,1825,2.03214,2.751,0.924912,1,0.4206,15.4681,"NA","NA",103,1.43056,0.000225883,325.797,1479,2272.79,8013
"Yes",100981003,0.0358093,2,0.0277778,23.21,-13.22,-3.46969,69,47.2222,-16,17.59735,2.63,0,2700,6696,-0.775351,2.454,0.00360948,0.074,0.39521,98.95,-1.385963636,2.22,18,0.25,0.00924189,59234.6,8039,864.961,8035
"Yes",49280682,0.000249601,4,0.0444444,36.13,-13.47,-3.697,82,47.7778,-23.9,24.82401,5.04,-11.84,21,361,1.96739,5.249,0.654243,1,0.36144,12.6282,0.6259,2.84,21,0.233333,7.74681E-05,35607,8050,654.182,2757
"Yes",27255400,0.000599042,1,0.00793651,28.05,-11.85,-3.8707,126,40.4762,-37.3,39.16943,2.78,-22.81,48,629,3.22248,8.777,0.819573,1,0.44128,26.1357,0.6011334211,2.86,32,0.253968,3.83766E-05,211.894,145,1077.88,3138
"Yes",184325695,0.000399361,1,0.0131579,52.29,-13.46,-3.77642,45,51.3158,-24.8,26.60349,0.35,-0.45,397,3645,1.33488,4.638,0.697603,1,0.39562,0.919209,0.5358757895,2.24,22,0.289474,1.8088E-05,3200.63,8018,7392.75,8018
"Yes",85062152,0.00153088,6,0.0535714,31.56,-10.54,-4.31377,6,27.6786,-12.3,15.95194,6.07,0,453,1299,-0.130223,2.626,0.00445956,0.061,0.39765,98.05,-1.367045888,1.8,23,0.205357,0.000324179,25.5491,126,0.845514,6
"Yes",32901333,0.0995407,7,0.0503597,65.58,-8.39,-3.79542,2,30.9353,-30.4,32.70248,2.49,-0.73,1320,3908,2.54052,7.15,0.863314,1,0.41264,3,0.2997388462,2.33,23,0.165468,0.036203,122.147,1659,575.112,7979
"Yes",52688886,0.0017472,4,0.0272109,5.17,-13.23,-3.75485,1,40.8163,-42.2,44.35505,1.58,-35.01,176,853,0.200615,3.825,0.126246,1,0.46621,39.6511,-1.34131958,3.34,32,0.217687,0.000230278,362.169,8010,656.208,8017
"Yes",82089959,0.00720847,9,0.0497238,32.47,-11.54,-5.99667,1,61.326,-79,81.04127,3,0,4370,14323,-1.223,2.982,0.000333442,0.025,0.42457,98.5,-1.691799024,1.43,39,0.21547,0.00358292,39.1545,1179,100.819,1181
"Yes",70788693,0.0325978,4,0.056338,40.01,-7.37,-3.22095,23,60.5634,-29.4,30.91553,14.02,-24.62,335,1079,2.27513,3.841,0.856891,1,0.40598,16.964,1.382463415,2.29,23,0.323944,0.00595491,305280,3824,16731.4,578
"Yes",28589378,0.00019968,4,0.0555556,29.25,-6.28,-2.48444,19,51.3889,-27.1,27.76695,2.87,-7.57,862,2804,0.553815,2.25,0.551864,1,0.3594,14.8164,0.6743185185,1.72,73,1.01389,2.75162E-05,277.163,2115,1179.47,6135
"Yes",28989001,0.00315859,11,0.134146,18.7,-7.82,-3.9,23,63.4146,-35.1,36.23442,4.78,-31.72,23,260,0.935998,2.214,0.871669,1,0.34807,23.4392,0.1393285106,1.01,66,0.804878,0.000527755,280.224,69,4216.85,8002
"Yes",38861683,0.0554713,10,0.138889,42.72,-8.31,-3.99783,34,56.9444,-28.5,29.21035,4.08,-20.14,271,552,1.28443,2.716,0.896362,1,0.45896,18.3423,0.3087727273,1.5,64,0.888889,0.00790619,106.548,139,203.457,677
"Yes",28807832,0.0303055,12,0.164384,23.95,-8.95,-3.67923,55,53.4247,-23.7,24.83506,4.64,-20.78,552,2820,0.868821,1.591,0.919163,1,0.44171,20.049,0.01123333333,1.26,93,1.27397,0.00350929,63.4895,56,542.908,1684
"Yes",14285892,0.000599041,7,0.0972222,9.13,-10.2,-6.2,2,63.8889,-27.4,28.83589,0.16,-28.24,250,858,3.13513,4.293,0.914951,1,0.38349,22.6846,2.705,3.27,50,0.694444,0.000115263,50.3693,469,716.596,7999
"Yes",73478316,0.000546495,17,0.232877,10.07,-6.38,-2.38111,18,50.6849,-28.1,28.86601,1.61,-25.46,7,38,0.127967,0.762,0.453879,0.899,0.35234,20.6883,-0.1176666667,0.55,96,1.31507,0.000116846,167.637,832,806.855,5861
